Name,DOB,Email,phone_number,Country,location,Address,Education,Gender,Zip_Code,skillsofusers,File_path
Myriam Givens,26-01-1964,myriam.givens@bilearner.com,812.577.6995,United States,"Modesto, California",700 Quinn Green Suite 066,Masters,Female,46204,"['classification', 'communication', 'time management', 'excel', 'research', 'attention to detail', 'resource management', 'data analysis', 'training', 'customer service']",archive (5)/data/data/HEALTHCARE/23918545.pdf
Dheepa Nguyen,06-04-1948,dheepa.nguyen@bilearner.com,+1-936-444-2218x20333,United States,"Mesa, Arizona",611 Thomas Dam Suite 296,Bachelors,Female,30428,"['customer service', 'gpa', 'operating system', 'monitoring']",archive (5)/data/data/INFORMATION-TECHNOLOGY/40018190.pdf
Bartholemew Khemmich,24-11-1981,bartholemew.khemmich@bilearner.com,(555)378-9780x6321,United States,"Huntington Beach, California",4469 Holt Divide Suite 740,Bachelors,Male,80820,"['unix', 'xml', 'tcp', 'ip', 'research', 'regression', 'training', 'sql']",archive (5)/data/data/CONSULTANT/29647215.pdf
Xana Potts,06-11-1951,xana.potts@bilearner.com,971.878.7268,United States,"Amarillo, Texas",527 Jamie Viaduct,Masters,Female,40220,"['automation', 'SMTP', 'monitoring', 'scripting', 'ftp']",archive (5)/data/data/HR/47470864.pdf
Prater Jeremy,21-11-1989,prater.jeremy@bilearner.com,664-406-4217x23378,United States,"Huntsville, Alabama",621 Mitchell Glen Apt. 704,Bachelors,Male,89139,"['excel', 'public relations', 'chef', 'monitoring', 'leadership', 'marketing', 'training', 'sales', 'os', 'customer service']",archive (5)/data/data/CHEF/27909372.pdf
Kaylah Moon,24-11-1952,kaylah.moon@bilearner.com,258-928-7659x38719,United States,"Garland, Texas",3578 Warren Prairie Suite 287,Bachelors,Male,2810,"['mentoring', 'networking', 'leadership', 'base', 'marketing', 'training', 'sales', 'customer service']",archive (5)/data/data/FINANCE/29648950.pdf
Kristen Tate,08-04-1994,kristen.tate@bilearner.com,816.563.4997,United States,"Anchorage, Alaska",6505 Dawn Burg,Bachelors,Male,2621,"['time management', 'communication', 'budgeting', 'change management', 'leadership', 'problem solving', 'employee relations', 'project management', 'strategic planning', 'marketing']",archive (5)/data/data/CONSTRUCTION/30311725.pdf
Bobby Rodgers,15-11-1983,bobby.rodgers@bilearner.com,790.234.8426x4964,United States,"Charlotte, North Carolina",5227 William Groves Apt. 165,Masters,Male,44553,"['automation', 'communication', 'networking', 'base', 'strategic partnerships', 'negotiation', 'marketing', 'sales strategy', 'interpersonal skills', 'business development', 'service excellence', 'goal setting', 'sales', 'persuasion', 'customer service']",archive (5)/data/data/SALES/26425074.pdf
Reid Park,07-12-1985,reid.park@bilearner.com,888.200.3444,United States,"Fort Wayne, Indiana",599 Mccoy Estate Apt. 522,Bachelors,Female,5360,"['data security', 'unix', 'mentoring', 'linux', 'monitoring', 'rdbms', 'scripting', 'penetration testing', 'training', 'security', 'sql']",archive (5)/data/data/INFORMATION-TECHNOLOGY/18187364.pdf
Hector Dalton,01-05-1996,hector.dalton@bilearner.com,759.240.1311,United States,"Akron, Ohio",331 James Springs,Masters,Female,16325,"['SLA', 'API', 'FTP', 'Server Management', 'Monitoring', 'monitoring', 'Networking', 'VLAN', 'networking', 'incident management', 'Security', 'OS', 'Linux']",archive (5)/data/data/DIGITAL-MEDIA/20330739.pdf
Mariela Schultz,17-02-1964,mariela.schultz@bilearner.com,+1-525-278-4277x351,United States,"Indianapolis, Indiana",96558 Robert Crest Suite 109,Masters,Female,43481,"['html', 'css', 'javascript', 'operational efficiency', 'negotiation', 'marketing', 'saas', 'strategic planning', 'training', 'sales', 'kpi', 'sql']",archive (5)/data/data/DIGITAL-MEDIA/12085736.pdf
Angela Molina,12-05-1958,angela.molina@bilearner.com,+1-804-766-7467x87285,United States,"Bakersfield, California",156 Brandy Mountain,Masters,Male,50705,"['communication', 'excel', 'monitoring', 'change management', 'risk management', 'employee relations', 'training', 'sales', 'customer service']",archive (5)/data/data/HR/93002334.pdf
Gerald Preston,18-09-1992,gerald.preston@bilearner.com,756-401-6229x66430,United States,"Miami, Florida",8136 Theresa Avenue Suite 172,Masters,Male,5168,"['marketing', 'sales', 'cad']",archive (5)/data/data/DESIGNER/19195747.pdf
Reilly Moyer,11-08-1994,reilly.moyer@bilearner.com,385.292.6561,United States,"Columbus, Georgia",5254 Murray Parkway Suite 484,Bachelors,Male,11765,"['customer relations', 'process improvement', 'networking', 'problem solving', 'marketing', 'project management', 'client relations', 'cap', 'training', 'sales']",archive (5)/data/data/AVIATION/31536294.pdf
Carlee French,15-01-1968,carlee.french@bilearner.com,(207)891-2189,United States,"Milwaukee, Wisconsin",10514 Long Ports Apt. 727,Masters,Male,71071,"['communication', 'negotiation skills', 'public relations', 'negotiation', 'marketing', 'san', 'sales']",archive (5)/data/data/APPAREL/27099856.pdf
Jaydon Blackburn,07-01-1947,jaydon.blackburn@bilearner.com,+1-575-775-5233x66992,United States,"Chula Vista, California",1253 Monroe Rapid,Bachelors,Male,12122,"['training', 'leadership', 'goal setting']",archive (5)/data/data/TEACHER/29267293.pdf
Bridger Carter,07-04-1982,bridger.carter@bilearner.com,489.514.2029x51962,United States,"Oxnard, California",168 Chris Roads Suite 459,Bachelors,Male,87065,"['monitoring', 'interpersonal skills', 'marketing', 'training', 'security', 'sales']",archive (5)/data/data/FITNESS/10969918.pdf
Leon Beard,29-01-1970,leon.beard@bilearner.com,(555)378-9780x6321,United States,"Richmond, Virginia",901 Erickson Burg,Bachelors,Male,10415,"['gpa', 'excel']",archive (5)/data/data/ENGINEERING/38535335.pdf
Charity Miranda,18-01-1999,charity.miranda@bilearner.com,+1-421-479-1490x999,United States,"Indianapolis, Indiana",4028 Victoria Trace Suite 510,Bachelors,Male,3763,"['shell scripting', 'Linux', 'Sql', 'Sales', 'Security', 'SQL', 'scripting', 'JIRA', 'Monitoring', 'sql']",archive (5)/data/data/FITNESS/59487170.pdf
Axel Howe,25-09-1946,axel.howe@bilearner.com,(354)718-4827x15070,United States,"Overland Park, Kansas",7528 Anderson Locks Suite 143,Bachelors,Female,79623,"['communication', 'excel', 'leadership', 'problem solving', 'marketing', 'attention to detail', 'coaching', 'san', 'training', 'security', 'sales', 'customer service']",archive (5)/data/data/BPO/69097572.pdf
Milton Wall,23-08-1947,milton.wall@bilearner.com,001-551-350-6196,United States,"Jersey City, New Jersey",4322 Joseph Ports Apt. 157,Masters,Female,69189,"['customer service', 'Sales', 'supply chain management', 'security', 'sales', 'Monitoring']",archive (5)/data/data/ARTS/65325317.pdf
Cory Robinson,12-08-1996,cory.robinson@bilearner.com,225.873.5334,United States,"Augusta, Georgia",6417 Yoder Summit Apt. 056,Masters,Female,5194,"['excel', 'budgeting', 'monitoring', 'leadership', 'problem solving', 'project management', 'training', 'sales']",archive (5)/data/data/FINANCE/18072085.pdf
Saniya Yu,09-02-1944,saniya.yu@bilearner.com,555-696-0968x54141,United States,"New York, New York",9645 Washington Throughway,Bachelors,Male,8779,"['communication', 'excel', 'monitoring', 'budgeting', 'research', 'project coordination', 'microsoft excel', 'project management', 'training']",archive (5)/data/data/TEACHER/23398843.pdf
Alisa James,10-02-1944,alisa.james@bilearner.com,353-872-4697,United States,"Birmingham, Alabama",456 Martin Oval Apt. 117,Bachelors,Male,74682,"['training', 'sales', 'customer service']",archive (5)/data/data/FITNESS/67032711.pdf
Lincoln Compton,29-12-1997,lincoln.compton@bilearner.com,426-870-4575x312,United States,"Greensboro, North Carolina",8884 Christopher Junctions,Masters,Male,78046,['Leadership'],archive (5)/data/data/HR/32308556.pdf
Aliana Nolan,09-08-1942,aliana.nolan@bilearner.com,933.352.2785x67024,United States,"San Bernardino, California",90800 Michael Lodge,Masters,Male,27270,"['ar', 'performance evaluation', 'communication', 'process improvement', 'go', 'budgeting', 'excel', 'leadership', 'research', 'negotiation', 'risk management', 'coaching', 'business development', 'training']",archive (5)/data/data/FINANCE/26530575.pdf
Kayden Dodson,21-06-1951,kayden.dodson@bilearner.com,+1-647-914-4798x27869,United States,"Oakland, California",1113 April Mountain Suite 431,Bachelors,Male,12703,"['Java', 'HTML', 'Security', 'Automation', 'OS', 'CSS', 'sql']",archive (5)/data/data/PUBLIC-RELATIONS/29329075.pdf
James Duke,17-06-1998,james.duke@bilearner.com,258-928-7659x38719,United States,"Atlanta, Georgia",699 Rodriguez Greens,Masters,Male,66835,"['gpa', 'marketing', 'training', 'sales', 'customer service']",archive (5)/data/data/SALES/92200491.pdf
Willow Stuart,07-01-1962,willow.stuart@bilearner.com,+1-265-692-9770x3445,United States,"Stockton, California",814 Freeman Run,Bachelors,Male,66150,"['communication', 'excel', 'monitoring', 'research', 'training', 'gpa']",archive (5)/data/data/ADVOCATE/37640804.pdf
Clayton Walker,26-01-1979,clayton.walker@bilearner.com,359-814-9022x6336,United States,"Albuquerque, New Mexico",4222 Cooper Ports,Masters,Male,64288,"['Communication', 'Marketing', 'Sales']",archive (5)/data/data/CONSTRUCTION/32025286.pdf
Celia Curtis,14-05-1987,celia.curtis@bilearner.com,484-260-7391,United States,"Columbus, Georgia",079 Jane Crossing,Bachelors,Female,94333,"['linux', 'networking', 'incident management', 'research', 'training', 'css', 'os']",archive (5)/data/data/INFORMATION-TECHNOLOGY/26768723.pdf
Valentin Reilly,26-04-1998,valentin.reilly@bilearner.com,(754)386-6338x4530,United States,"Nashville, Tennessee",19205 Burke Ports Suite 746,Bachelors,Female,45453,"['automation', 'excel', 'html', 'budgeting', 'ip', 'google analytics', 'javascript', 'base', 'media relations', 'marketing', 'microsoft excel', 'sales', 'business development', 'project management', 'css']",archive (5)/data/data/DIGITAL-MEDIA/16893572.pdf
Ryland Shepherd,21-02-1945,ryland.shepherd@bilearner.com,(980)752-9623x782,United States,"Huntsville, Alabama",4589 Brittany Grove Suite 096,Masters,Female,81905,"['communication', 'leadership', 'base', 'risk management', 'marketing', 'project management', 'business development', 'sales']",archive (5)/data/data/FINANCE/86595128.pdf
Esteban Gilbert,31-05-1997,esteban.gilbert@bilearner.com,331.522.5847,United States,"Boston, Massachusetts",9332 Kelley Mission,Bachelors,Female,12491,"['time management', 'security', 'leadership', 'base', 'project management', 'relationship building', 'business development', 'client relations', 'training', 'sales', 'customer service']",archive (5)/data/data/BANKING/96493528.pdf
Jonathan Adkins,03-01-1967,jonathan.adkins@bilearner.com,600.967.3095,United States,"North Las Vegas, Nevada",61766 David Skyway Suite 232,Masters,Male,64350,"['business intelligence', 'leadership', 'base', 'marketing', 'training', 'sales']",archive (5)/data/data/FITNESS/24708621.pdf
Nevaeh Soto,12-01-1982,nevaeh.soto@bilearner.com,(425)384-6621x410,United States,"Chesapeake, Virginia",338 Evans Coves Suite 568,Masters,Male,74124,"['public relations', 'analytical skills', 'media relations', 'research', 'marketing', 'public speaking', 'project management', 'creativity', 'sales', 'client relations', 'editing', 'customer service']",archive (5)/data/data/PUBLIC-RELATIONS/22754014.pdf
Chaim Mata,01-10-1950,chaim.mata@bilearner.com,+1-504-379-2164x3986,United States,"Rochester, New York",908 Vasquez Knolls,Masters,Male,33379,"['communication', 'sales', 'training']",archive (5)/data/data/FITNESS/80000092.pdf
Arely Patton,16-12-1965,arely.patton@bilearner.com,725-765-2909,United States,"Jersey City, New Jersey",508 Freeman Creek,Masters,Male,34481,"['excel', 'budgeting', 'operational leadership', 'trend analysis', 'tableau', 'leadership', 'training', 'gpa']",archive (5)/data/data/FINANCE/26231609.pdf
Vance Trujillo,25-12-1957,vance.trujillo@bilearner.com,+1-293-496-5866x89864,United States,"Henderson, Nevada",83202 Ingram Fields,Masters,Male,90406,"['salesforce', 'excel', 'base', 'marketing', 'project management', 'strategic planning', 'business development', 'goal setting', 'training', 'sales']",archive (5)/data/data/BUSINESS-DEVELOPMENT/14752209.pdf
Charlie Koch,20-06-1945,charlie.koch@bilearner.com,561.260.3566x4738,United States,"North Las Vegas, Nevada",1058 Mark Highway,Bachelors,Male,95774,"['SLA', 'communication', 'time management', 'monitoring', 'analytical skills', 'leadership', 'operational efficiency', 'problem solving', 'interpersonal skills', 'decision making', 'relationship building', 'training', 'Monitoring', 'team building']",archive (5)/data/data/SALES/37735467.pdf
Sonny Horne,03-12-1969,sonny.horne@bilearner.com,(742)744-6640,United States,"Garland, Texas",205 Rice Track,Bachelors,Female,16058,"['matplotlib', 'data governance', 'pandas', 'data pipeline', 'jira', 'aws', 'agile', 'time series analysis', 'sql', 'training', 'java', 'python']",archive (5)/data/data/AGRICULTURE/11813872.pdf
Thomas Chandler,10-10-1957,thomas.chandler@bilearner.com,001-821-951-4672x44123,United States,"Lubbock, Texas",05460 Laura Ford Apt. 015,Masters,Female,45149,"['marketing', 'training', 'sales', 'excel']",archive (5)/data/data/CONSULTANT/12251115.pdf
Sarai Stone,17-05-1962,sarai.stone@bilearner.com,556-990-0385,United States,"Fremont, California",392 Daniel Parkways Suite 034,Masters,Female,96336,"['communication', 'performance management', 'excel', 'mentorship', 'research', 'interpersonal skills', 'employee relations', 'risk management', 'conflict resolution', 'training', 'gpa']",archive (5)/data/data/AVIATION/50775901.pdf
Jerimiah Harmon,09-08-1946,jerimiah.harmon@bilearner.com,+1-742-646-1231x4922,United States,"Nashville, Tennessee",80259 Dixon Prairie,Masters,Female,75671,"['automation', 'Scripting', 'MVC', 'MONITORING', 'Classification', 'HTML', 'Operating System', 'JSON', 'JavaScript', 'coaching', 'SQL', 'unit testing', 'Coaching', 'decision making', 'CSS']",archive (5)/data/data/ARTS/37472265.pdf
Leland Allen,11-12-1965,leland.allen@bilearner.com,269.335.5334,United States,"Rochester, New York",7189 Timothy Corner Apt. 711,Bachelors,Male,61149,"['unix', 'network security', 'sla', 'tcp', 'networking', 'ip', 'research', 'os', 'project management', 'training', 'security', 'editing', 'log management', 'vpn']",archive (5)/data/data/CONSULTANT/31395742.pdf
Cristal Bolton,11-02-1990,cristal.bolton@bilearner.com,001-515-665-8203,United States,"Tempe, Arizona",2502 Rollins Haven Apt. 823,Bachelors,Male,57302,"['communication', 'time management', 'leadership', 'problem solving', 'research', 'interpersonal skills', 'attention to detail', 'organizational behavior', 'facilitation', 'client relations', 'training', 'gpa', 'customer service']",archive (5)/data/data/AUTOMOBILE/97449528.pdf
Jaslene Harding,19-06-1964,jaslene.harding@bilearner.com,421-429-7655x39421,United States,"New Orleans, Louisiana",321 Turner Mews,Masters,Male,42605,"['Java', 'Operating System', 'SQL', 'IDE', 'Linux']",archive (5)/data/data/FINANCE/26767199.pdf
Albert Gonzalez,18-07-1995,albert.gonzalez@bilearner.com,757.890.3893x3789,United States,"Jersey City, New Jersey",01914 Sweeney Gateway Suite 775,Masters,Male,64036,"['team leadership', 'leadership', 'regulatory compliance', 'security', 'customer service']",archive (5)/data/data/BANKING/30127072.pdf
Jaiden Johnson,22-08-1994,jaiden.johnson@bilearner.com,299.691.5768x4689,United States,"Spokane, Washington",538 Schwartz Isle Suite 665,Masters,Male,23173,"['public relations', 'media relations', 'strategic partnerships', 'research', 'marketing', 'san', 'editing', 'event planning']",archive (5)/data/data/DIGITAL-MEDIA/40311088.pdf
Brendon Mcconnell,14-11-1990,brendon.mcconnell@bilearner.com,238-616-1453x9030,United States,"St. Petersburg, Florida",1772 Adams Forges Suite 868,Masters,Male,19665,"['Python', 'Matlab', 'Java', 'marketing strategy', 'marketing', 'IDE', 'Deep Learning', 'Linux']",archive (5)/data/data/FINANCE/20977412.pdf
Kimora Parsons,01-02-1994,kimora.parsons@bilearner.com,(285)242-3577x100,United States,"Minneapolis, Minnesota",18917 Adams Stravenue Suite 510,Bachelors,Female,41161,"['time management', 'communication', 'critical thinking', 'excel', 'leadership', 'interpersonal skills', 'attention to detail', 'creativity', 'goal setting', 'sales', 'team building']",archive (5)/data/data/TEACHER/22551979.pdf
Willie Patterson,12-11-1997,willie.patterson@bilearner.com,874-411-5206x12792,United States,"Rochester, New York",0516 Norris Pine,Bachelors,Female,52499,"['automation', 'Scripting', 'MVC', 'MONITORING', 'Classification', 'HTML', 'Operating System', 'JSON', 'JavaScript', 'coaching', 'SQL', 'unit testing', 'Coaching', 'decision making', 'CSS']",archive (5)/data/data/CHEF/35157762.pdf
Devyn Powers,02-05-1953,devyn.powers@bilearner.com,001-369-768-1854x26354,United States,"Akron, Ohio",62145 Collier Wells,Bachelors,Female,25634,"['communication', 'gpa', 'excel', 'go', 'leadership', 'base', 'problem solving', 'interpersonal skills', 'microsoft excel', 'project management', 'collaboration', 'supply chain management', 'marketing', 'data analysis', 'training', 'sales']",archive (5)/data/data/HEALTHCARE/22008817.pdf
Weston Preston,10-07-1991,weston.preston@bilearner.com,001-240-898-0491x555,United States,"San Bernardino, California",9683 Houston Alley,Bachelors,Female,37965,"['Sales', 'Research', 'excel', 'Excel']",archive (5)/data/data/APPAREL/11409460.pdf
Lennon Buchanan,02-06-1973,lennon.buchanan@bilearner.com,310-353-2829x848,United States,"Memphis, Tennessee",1557 Moore Mountains Apt. 077,Bachelors,Male,39504,"['customer service', 'Sales', 'supply chain management', 'security', 'sales', 'Monitoring']",archive (5)/data/data/BUSINESS-DEVELOPMENT/14055971.pdf
Vicente Merritt,08-01-1993,vicente.merritt@bilearner.com,001-859-550-2982,United States,"Chandler, Arizona",743 Joseph Lakes Apt. 318,Masters,Male,31676,"['public relations', 'research', 'marketing', 'sales', 'customer service']",archive (5)/data/data/PUBLIC-RELATIONS/23143731.pdf
Hugo Clay,17-04-1984,hugo.clay@bilearner.com,844.646.8946x4675,United States,"Bakersfield, California",143 Sharp Walk Suite 116,Bachelors,Male,28784,"['communication', 'cad', 'leadership', 'base', 'project management', 'collaboration']",archive (5)/data/data/DESIGNER/24583187.pdf
Cohen Raymond,08-02-1994,cohen.raymond@bilearner.com,(721)528-2218x54566,United States,"Minneapolis, Minnesota",00495 Tony Tunnel Suite 998,Masters,Male,90983,"['time management', 'excel', 'marketing', 'sales', 'training', 'gpa']",archive (5)/data/data/FITNESS/21238396.pdf
Tia Ellis,27-01-1993,tia.ellis@bilearner.com,(757)205-9797x336,United States,"Indianapolis, Indiana",363 Anita Park Suite 368,Bachelors,Male,1115,"['excel', 'interpersonal skills', 'employee relations', 'attention to detail', 'business development', 'sales', 'customer service']",archive (5)/data/data/HR/30163002.pdf
Aspen Bentley,19-09-1964,aspen.bentley@bilearner.com,001-459-312-0982x843,United States,"Henderson, Nevada",733 Barrett Isle Apt. 972,Masters,Male,72233,['Training'],archive (5)/data/data/SALES/23032182.pdf
Graham Rodriguez,18-02-1981,graham.rodriguez@bilearner.com,001-271-900-1858x337,United States,"Colorado Springs, Colorado",7385 Potter Knolls,Masters,Female,58210,"['shell scripting', 'security', 'process improvement', 'linux', 'budgeting', 'unix', 'javascript', 'research', 'java', 'project management', 'relationship building', 'automated testing', 'sql', 'scripting', 'training', 'database management', 'productivity improvement']",archive (5)/data/data/INFORMATION-TECHNOLOGY/70089206.pdf
Joel Mcmillan,17-10-1998,joel.mcmillan@bilearner.com,(779)959-2374x8454,United States,"St. Petersburg, Florida",828 Watkins Landing Suite 952,Masters,Female,36087,"['time management', 'customer relations', 'team leadership', 'leadership', 'problem solving', 'training', 'sales', 'sales management']",archive (5)/data/data/FINANCE/18640927.pdf
Maci Frost,16-01-1971,maci.frost@bilearner.com,(390)702-9629x260,United States,"Dallas, Texas",28037 Thomas Points,Masters,Female,61457,"['excel', 'monitoring', 'statistical analysis', 'problem solving', 'customer service']",archive (5)/data/data/ADVOCATE/13809698.pdf
Nevaeh Lucas,25-02-2000,nevaeh.lucas@bilearner.com,001-627-756-0445,United States,"Santa Ana, California",272 Wise Trail Suite 983,Bachelors,Female,80424,"['gpa', 'conflict management', 'leadership', 'base', 'problem solving', 'interpersonal skills', 'research', 'project management', 'sales', 'resource management', 'marketing', 'facilitation', 'coaching', 'conflict resolution', 'training', 'performance metrics']",archive (5)/data/data/FITNESS/23011221.pdf
Garrett Zimmerman,19-04-1959,garrett.zimmerman@bilearner.com,001-275-654-8877x63485,United States,"Seattle, Washington",547 Barnes Lake,Bachelors,Male,6240,"['communication', 'time management', 'excel', 'leadership development', 'leadership', 'problem solving', 'research', 'business development', 'security', 'customer service']",archive (5)/data/data/FINANCE/74512244.pdf
Eugene Marks,29-06-1976,eugene.marks@bilearner.com,(225)245-1408x043,United States,"Milwaukee, Wisconsin",7282 John Shore,Masters,Male,49914,"['communication', 'event coordination', 'excel', 'gpa', 'public relations', 'networking', 'leadership', 'research', 'employee relations', 'editing', 'training', 'sales', 'event planning', 'organizational skills', 'customer service']",archive (5)/data/data/PUBLIC-RELATIONS/85766635.pdf
Geovanni Pugh,27-07-1951,geovanni.pugh@bilearner.com,(281)691-8449x725,United States,"Cleveland, Ohio",1909 Strong Club Suite 173,Masters,Male,71319,"['excel', 'process improvement', 'research', 'microsoft excel', 'training']",archive (5)/data/data/FINANCE/38907798.pdf
Javon Kelley,23-08-1980,javon.kelley@bilearner.com,201-327-5106x244,United States,"Lubbock, Texas",5943 Kelly Drive,Bachelors,Male,27992,"['communication', 'time management', 'team leadership', 'leadership', 'training', 'gpa', 'organizational skills', 'team building']",archive (5)/data/data/FITNESS/11522068.pdf
Amaya Hicks,24-07-1943,amaya.hicks@bilearner.com,882.852.2854,United States,"Gilbert, Arizona",54234 Blevins Stream,Bachelors,Male,72324,"['communication', 'negotiation', 'marketing', 'relationship building', 'business development', 'training', 'sales', 'organizational skills', 'customer service']",archive (5)/data/data/DIGITAL-MEDIA/10515955.pdf
Laila Woodard,06-07-1988,laila.woodard@bilearner.com,(494)622-5158x30449,United States,"Tempe, Arizona",5014 Cannon Oval,Bachelors,Male,38740,"['project management', 'sales', 'cad', 'base']",archive (5)/data/data/DESIGNER/28663949.pdf
Ivan Huff,24-03-1973,ivan.huff@bilearner.com,(225)245-1408x043,United States,"New Orleans, Louisiana",061 Morris Views,Bachelors,Male,9437,"['training', 'customer service']",archive (5)/data/data/CONSTRUCTION/29061628.pdf
Aidan Harding,26-05-1942,aidan.harding@bilearner.com,551.912.4758,United States,"Anaheim, California",0131 Gregory Corners Apt. 815,Masters,Male,9385,"['Java', 'Networking', 'Regression', 'Excel', 'Automation', 'Selenium', 'Linux']",archive (5)/data/data/INFORMATION-TECHNOLOGY/10553553.pdf
Cruz Boyer,04-11-1977,cruz.boyer@bilearner.com,001-668-658-1780,United States,"Toledo, Ohio",41501 Wagner Parks Apt. 574,Bachelors,Female,75993,"['customer relations', 'excel', 'budgeting', 'crisis management', 'marketing', 'sales']",archive (5)/data/data/CONSTRUCTION/14585273.pdf
Raven Koch,17-10-1956,raven.koch@bilearner.com,+1-797-382-0321x86951,United States,"Sacramento, California",8328 Sandoval Canyon,Masters,Female,65329,"['excel', 'monitoring', 'research', 'facilitation', 'sales', 'organizational skills', 'customer service']",archive (5)/data/data/HR/10399912.pdf
Karli Barker,18-02-1997,karli.barker@bilearner.com,861-714-8062x59003,United States,"Mesa, Arizona",962 Callahan Trafficway,Masters,Female,41111,Leadership,archive (5)/data/data/FITNESS/17660419.pdf
Tyrone Sosa,25-10-1996,tyrone.sosa@bilearner.com,(273)331-1914,United States,"Little Rock, Arkansas",33076 Jennifer Rapid,Masters,Female,58860,"['SQL', 'Sales']",archive (5)/data/data/PUBLIC-RELATIONS/25070914.pdf
Damaris Cisneros,13-11-1959,damaris.cisneros@bilearner.com,(766)906-1053x90692,United States,"Detroit, Michigan",60255 Dodson Mills,Masters,Male,93051,"['xml', 'Java', 'Jenkins', 'HTML', 'java', 'unit testing', 'SVN', 'http', 'CSS']",archive (5)/data/data/FINANCE/39675895.pdf
Alexus Estes,03-01-1958,alexus.estes@bilearner.com,(497)692-6648x63687,United States,"Minneapolis, Minnesota",311 Palmer Fords Apt. 610,Masters,Male,17419,"['time management', 'communication', 'budgeting', 'chef', 'monitoring', 'leadership', 'problem solving', 'event management', 'resource management', 'training', 'sales', 'organizational skills', 'customer service', 'team building']",archive (5)/data/data/CHEF/65373280.pdf
Kinsley Flowers,29-04-1997,kinsley.flowers@bilearner.com,(230)664-2881,United States,"Port St. Lucie, Florida",1761 Sandoval Meadow,Masters,Male,59593,['Matlab'],archive (5)/data/data/APPAREL/22852364.pdf
Deborah Love,25-06-1988,deborah.love@bilearner.com,(608)654-1837x5599,United States,"Nashville, Tennessee",216 Hall Skyway,Masters,Male,96350,"['communication', 'organizational skills', 'leadership', 'base', 'problem solving', 'interpersonal skills', 'marketing', 'strategic planning', 'training', 'sales', 'customer retention', 'customer service']",archive (5)/data/data/FITNESS/38108845.pdf
Milagros Francis,04-01-1942,milagros.francis@bilearner.com,348.623.4924x9617,United States,"San Antonio, Texas",935 Alexis Drives Suite 373,Bachelors,Male,44469,"['excel', 'base', 'research', 'business development', 'customer service']",archive (5)/data/data/BUSINESS-DEVELOPMENT/37391947.pdf
